Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Mortality Risk from Respiratory Diseases Due to Non-Optimal Temperature among Brazilian Elderlies","Extreme heat and cold significantly increase the risk of respiratory disease-related mortality among Brazilian elderlies, warranting proactive action in cities with critical temperature variations.","L. Jacobson, B. F. A. Oliveira, Rochelle Schneider, A. Gasparrini, S. Hacon",2021,27,"Over the past decade, Brazil has experienced and continues to be impacted by extreme climate events. This study aims to evaluate the association between daily average temperature and mortality from respiratory disease among Brazilian elderlies. A daily time-series study between 2000 and 2017 in 27 Brazilian cities was conducted. Data outcomes were daily counts of deaths due to respiratory diseases in the elderly aged 60 or more. The exposure variable was the daily mean temperature from Copernicus ERA5-Land reanalysis. The association was estimated from a two-stage time series analysis method. We also calculated deaths attributable to heat and cold. The pooled exposure-response curve presented a J-shaped format. The exposure to extreme heat increased the risk of mortality by 27% (95% CI: 15-39%), while the exposure to extreme cold increased the risk of mortality by 16% (95% CI: 8-24%). The heterogeneity between cities was explained by city-specific mean temperature and temperature range. The fractions of deaths attributable to cold and heat were 4.7% (95% CI: 2.94-6.17%) and 2.8% (95% CI: 1.45-3.95%), respectively. Our results show a significant impact of non-optimal temperature on the respiratory health of elderlies living in Brazil. It may support proactive action implementation in cities that have critical temperature variations.","non-rct observational study","International Journal of Environmental Research and Public Health","2","10.3390/ijerph18115550","https://consensus.app/papers/mortality-risk-from-respiratory-diseases-due-to-jacobson-oliveira/9022c8c206b754d89c12cf7a21438277/"
"Socioeconomic differentials in the temperature-mortality relationship in São Paulo, Brazil.","In So Paulo, Brazil, the U-shaped temperature-mortality relationship is found, with similar effects across socioeconomic groups.","N. Gouveia, S. Hajat, B. Armstrong",2003,210,"BACKGROUND
We investigated the impact of environmental temperature on mortality in São Paulo, Brazil, and examined differences in the temperature-mortality relationship with respect to cause, age group, and socioeconomic position (SEP).


METHODS
Generalized additive Poisson regression models adjusted for non-temperature related seasonal factors (including air pollution) were used to analyse daily mortality counts for selected causes from 1991 to 1994. Individuals were classified by the aggregate SEP of their area of residency. These were analysed as potential modifiers of the temperature-mortality relationship.


RESULTS
Among the elderly we observed a 2.6% increase in all-cause mortality per degree increase in temperature above 20 degrees C, and a 5.5% increase per degree drop in temperature below 20 degrees C, after adjustment for confounding. Relationships were similar in children, but somewhat weaker in adults. Cold effects were present for deaths due to cardiovascular disease (CVD), respiratory, and other causes, with effects being greatest in the respiratory group. Heat effects were not found for CVD deaths in adults, but otherwise varied little by cause of mortality. There was little evidence for a modification of the mortality effects of cold or heat by SEP.


CONCLUSIONS
These findings show that the U-shaped pattern of the temperature-mortality relationship found in cooler northern countries occurs also in a sub-tropical city. In addition, the relative effects of temperature were similar in each socioeconomic grouping.","non-rct observational study","International journal of epidemiology","1","10.1093/ije/dyg077","https://consensus.app/papers/socioeconomic-differentials-in-the-gouveia-hajat/1a5e8766edc150a4ade492fc9089e2cb/"
"Mortality risk attributable to high and low ambient temperature: a multicountry observational study","Most temperature-related deaths are due to cold, with extreme temperatures having a smaller impact than milder, non-optimum weather.","A. Gasparrini, Yuming Guo, M. Hashizume, É. Lavigne, A. Zanobetti, J. Schwartz, A. Tobías, S. Tong, J. Rocklöv, B. Forsberg, M. Leone, M. De Sario, M. Bell, Y. Guo, Chang-fu Wu, H. Kan, S. Yi, Micheline De Sousa Zanotti Stagliorio Coelho, P. Saldiva, Y. Honda, Ho Kim, B. Armstrong",2015,1985,"","","Lancet (London, England)","1","10.1016/s0140-6736(14)62114-0","https://consensus.app/papers/mortality-risk-attributable-to-high-and-low-ambient-gasparrini-guo/bf29b50e2fe4528c9585c2523ebd3d4b/"
"Heat Wave and Mortality: A Multicountry, Multicommunity Study","Heat waves significantly increase mortality rates, especially in moderate cold and moderate hot areas, with daily mean and maximum temperatures being more sensitive to heat wave definitions than minimum temperatures.","Yuming Guo, A. Gasparrini, B. Armstrong, Benjawan Tawatsupa, A. Tobías, É. Lavigne, M. Coelho, Xiaochuan Pan, Ho Kim, M. Hashizume, Y. Honda, Y. Guo, Chang-fu Wu, A. Zanobetti, J. Schwartz, Morag Bell, M. Scortichini, P. Michelozzi, Kornwipa Punnasiri, Shanshan Li, L. Tian, Samuel David Osorio Garcia, X. Seposo, A. Overcenco, A. Zeka, P. Goodman, T. Dang, D. Dung, F. Mayvaneh, P. Saldiva, G. Williams, S. Tong",2017,393,"Background: Few studies have examined variation in the associations between heat waves and mortality in an international context. Objectives: We aimed to systematically examine the impacts of heat waves on mortality with lag effects internationally. Methods: We collected daily data of temperature and mortality from 400 communities in 18 countries/regions and defined 12 types of heat waves by combining community-specific daily mean temperature ≥90th, 92.5th, 95th, and 97.5th percentiles of temperature with duration ≥2, 3, and 4 d. We used time-series analyses to estimate the community-specific heat wave–mortality relation over lags of 0–10 d. Then, we applied meta-analysis to pool heat wave effects at the country level for cumulative and lag effects for each type of heat wave definition. Results: Heat waves of all definitions had significant cumulative associations with mortality in all countries, but varied by community. The higher the temperature threshold used to define heat waves, the higher heat wave associations on mortality. However, heat wave duration did not modify the impacts. The association between heat waves and mortality appeared acutely and lasted for 3 and 4 d. Heat waves had higher associations with mortality in moderate cold and moderate hot areas than cold and hot areas. There were no added effects of heat waves on mortality in all countries/regions, except for Brazil, Moldova, and Taiwan. Heat waves defined by daily mean and maximum temperatures produced similar heat wave–mortality associations, but not daily minimum temperature. Conclusions: Results indicate that high temperatures create a substantial health burden, and effects of high temperatures over consecutive days are similar to what would be experienced if high temperature days occurred independently. People living in moderate cold and moderate hot areas are more sensitive to heat waves than those living in cold and hot areas. Daily mean and maximum temperatures had similar ability to define heat waves rather than minimum temperature. https://doi.org/10.1289/EHP1026","meta-analysis","Environmental Health Perspectives","1","10.1289/ehp1026","https://consensus.app/papers/heat-wave-and-mortality-a-multicountry-multicommunity-guo-gasparrini/792d62bca15f5d949a465af46016c216/"
"Heat-related mortality at the beginning of the twenty-first century in Rio de Janeiro, Brazil","Heat-related mortality in Rio de Janeiro is primarily linked to circulatory illnesses, but diabetes is the leading cause of excess mortality, particularly for elderly women.","J. L. Geirinhas, A. Russo, R. Libonati, R. Trigo, Lucas C. O. Castro, L. Peres, M. Magalhães, B. Nunes",2020,27,"Temperature record-breaking events, such as the observed more intense, longer-lasting, and more frequent heat waves, pose a new global challenge to health sectors worldwide. These threats are of particular interest in low-income regions with limited investments in public health and a growing urban population, such as Brazil. Here, we apply a comprehensive interdisciplinary climate-health approach, including meteorological data and a daily mortality record from the Brazilian Health System from 2000 to 2015, covering 21 cities over the Metropolitan Region of Rio de Janeiro. The percentage of absolute mortality increase due to summer extreme temperatures is estimated using a negative binomial regression modeling approach and maximum/minimum temperature-derived indexes as covariates. Moreover, this study assesses the vulnerability to thermal stress for different age groups and both genders and thoroughly analyzes four extremely intense heat waves during 2010 and 2012 regarding their impacts on the population. Results showed that the highest absolute mortality values during heat-related events were linked to circulatory illnesses. However, the highest excess of mortality was related to diabetes, particularly for women within the elderly age groups. Moreover, results indicate that accumulated heat stress conditions during consecutive days preferentially preceded by persistent periods of moderate-temperature, lead to higher excess mortality rather than sporadic single hot days. This work may provide directions in human health policies related to extreme climate events in large tropical metropolitan areas from developing countries, contributing to altering the historically based purely reactive response.","non-rct observational study","International Journal of Biometeorology","1","10.1007/s00484-020-01908-x","https://consensus.app/papers/heatrelated-mortality-at-the-beginning-of-the-twentyfirst-geirinhas-russo/bbcada6552355fb6916142b409287f34/"
"The Association between Air Temperature and Mortality in Two Brazilian Health Regions","Extreme air temperature influences both general and specific deaths in Brazil, with cold temperatures being more sensitive to cerebrovascular and cardiovascular deaths in Florianopolis and Recife, respectively.","Wolmir Ercides Péres, Andreia F. S. Ribeiro, A. Russo, B. Nunes",2020,11,"Air temperature, both cold and hot, has impacts on mortality and morbidities, which are exacerbated by poor health service and protection responses, particularly in under-developed countries. This study was designed to analyze the effects of air temperature on the risk of deaths for all and specific causes in two regions of Brazil (Florianopolis and Recife), between 2005 and 2014. The association between temperature and mortality was performed through the fitting of a quasi-Poisson non-linear lag distributed model. The association between air temperature and mortality was identified for both regions. The results showed that temperature exerted influence on both general mortality indicators and specific causes, with hot and cold temperatures bringing different impacts to the studied regions. Cerebrovascular and cardiovascular deaths were more sensitive to cold temperatures for Florianopolis and Recife, respectively. Based on the application of the very-well documented state-of-the-art methodology, it was possible to conclude that there was evidence that extreme air temperature influenced general and specific deaths. These results highlighted the importance of consolidating evidence and research in tropical countries such as Brazil as a way of understanding climate change and its impacts on health indicators.","non-rct observational study","Climate","2","10.3390/cli8010016","https://consensus.app/papers/the-association-between-air-temperature-and-mortality-in-p%C3%A9res-ribeiro/b63135a9df9e5af7a6e901338ff758f1/"
"Ambient temperature and mortality due to acute myocardial infarction in Brazil: an ecological study of time-series analyses","Ambient temperature has a significant impact on acute myocardial infarction mortality in Brazil, with cold temperatures increasing the risk, while hot temperatures reduce it.","Letícia de Castro Martins Ferreira, M. C. Nogueira, Ricardo Vela de Britto Pereira, William Cossich Marcial de Farias, Moreno Magalhães S. Rodrigues, M. T. Teixeira, M. Carvalho",2019,32,"","non-rct observational study","Scientific Reports","1","10.1038/s41598-019-50235-8","https://consensus.app/papers/ambient-temperature-and-mortality-due-to-acute-myocardial-ferreira-nogueira/610febe8d9b85eab98871e7f478e3e94/"
"Thermal Comfort Conditions and Mortality in Brazil","Thermal comfort conditions in Brazil are associated with increased mortality rates related to respiratory and circulatory diseases, with shorter exposure lags having the strongest effects on all-cause mortality.","W. Réquia, Reizane Maria Damasceno da Silva, Leonardo Hoinaski, Heresh Amini",2024,1,"Conventional temperature-based approaches often overlook the intricate nature of thermal stress experienced by individuals. To address this limitation, climatologists have developed thermal indices—composite measures designed to reflect the complex interaction of meteorological factors influencing human perception of temperature. Our study focuses on Brazil, estimating the association between thermal comfort conditions and mortality related to respiratory and circulatory diseases. We examined four distinct thermal indices: the discomfort index (DI), net effective temperature (NET), humidex (H), and heat index (HI). Analyzing a comprehensive dataset of 2,872,084 deaths from 2003 to 2017, we found significant variation in relative risk (RR) based on health outcomes, exposure lag, percentile of exposure, sex/age groups, and specific thermal indices. For example, under high exposure conditions (99th percentile), we observed that the shorter lags (3, 5, 7, and 10) had the most robust effects on all-cause mortality. For example, under lag 3, the pooled national results for the overall population (all ages and sexes) indicate an increased risk of all-cause mortality, with an RR of 1.17 (95% CI: 1.13; 1.122) for DI, 1.15 (95% CI: 1.12; 1.17) for H, 1.15 (95% CI: 1.09; 1.21) for HI, and 1.18 (95% CI: 1.13; 1.22) for NET. At low exposure levels (1st percentile), all four distinct thermal indices were linked to an increase in all-cause mortality across most sex and age subgroups. Specifically, for lag 20, we observed an estimated RR of 1.19 (95% CI: 1.14; 1.23) for DI, 1.12 (95% CI: 1.08; 1.16) for H, 1.17 (95% CI: 1.12; 1.22) for HI, and 1.18 (95% CI: 1.14; 1.23) for NET. These findings have important implications for policymakers, guiding the development of measures to minimize climate change’s impact on public health in Brazil.","non-rct observational study","International Journal of Environmental Research and Public Health","2","10.3390/ijerph21091248","https://consensus.app/papers/thermal-comfort-conditions-and-mortality-in-brazil-r%C3%A9quia-silva/09277143b21150bcb1694134d0212edf/"
"Excess mortality associated with extreme heat in Rio de Janeiro, Brazil, 2023","","R. D. Fernández-Medina, Eduardo Mesquita Peixoto, Denis Rodrigues, Rodrigo Said, Cleonice Andrade Holanda, Cristina da Silva Freire, Aline Maria de Almeida, Silvia Cristina de Carvalho Cardoso, Mário Sergio Ribeiro, Claudia Maria Braga de Mello, Alex Rosewell, Luciane Velasque",2025,0,"ABSTRACT Objective: To determine the excess mortality associated with the November 2023 extreme heat wave in Rio de Janeiro, Brazil, with temperatures reaching 42°C. Methods: Using the excess heat factor (EHF) to characterize the heat wave, this study identified elevated excess mortality across various disease categories, including symptoms and abnormal clinical findings, nervous system disorders, mental health conditions, and genitourinary diseases, diverging from typical heat-related mortality patterns. Results: This event resulted in an estimated excess mortality of 1 392 individuals in a short period, disproportionately affecting older adults and women, with a significant number of deaths occurring at home. The findings underscore the complexity of heat wave impacts and highlight gaps in health care access, risk perception, and clinical management. Conclusions: Heat waves are increasingly recognized as a significant public health threat, exacerbated by climate change, with profound impacts on morbidity and mortality. The study emphasizes the urgent need for comprehensive heat alert and response systems, intersectoral action plans, and public education to mitigate the effects of extreme heat. Furthermore, it calls for adaptive strategies in urban planning, housing, and public health policies to address the growing frequency and intensity of heat waves in the context of climate change. As Brazil faces escalating challenges from rising temperatures, particularly in urban centers, coordinated multisectoral efforts are essential to protect vulnerable populations and reduce heat-related mortality in the future.","non-rct observational study","Revista Panamericana de Salud Pública","","10.26633/rpsp.2025.76","https://consensus.app/papers/excess-mortality-associated-with-extreme-heat-in-rio-de-fern%C3%A1ndez-medina-peixoto/9b53823d95e25a3393b9d0f345d2ff58/"
"Effects of air temperature on the risk of death from COPD in major microregions in Brazil: a time series study","Extreme air temperature events and non-optimal air temperature events significantly increase the risk of death from COPD in major Brazilian microregions.","Igor Magaton Ribas, João Pedro Medeiros Gomes, Pedro Augusto Rosa Valadares, Lucas Santos Jardim, M. C. Nogueira, Cássia de Castro Martins Ferreira, W. C. M. D. Farias, Letícia de Castro Martins Ferreira",2023,5,"To evaluate the association between the risk of death from COPD and air temperature events in ten major Brazilian microregions. This was a time series analysis of daily COPD deaths and daily mean air temperatures between 1996 and 2017. Using distributed nonlinear lag models, we estimated the cumulative relative risks of COPD mortality for four temperature percentiles (representing moderate and extreme cold and heat events) in relation to a minimum mortality temperature, with a lag of 21 days, in each microregion. Significant associations were found between extreme air temperature events and the risk of death from COPD in the southern and southeastern microregions in Brazil. There was an association of extreme cold and an increased mortality risk in the following microregions: 36% (95% CI, 1.12-1.65), in Porto Alegre; 27% (95% CI, 1.03-1.58), in Curitiba; and 34% (95% CI, 1.19-1.52), in São Paulo; whereas moderate cold was associated with an increased risk of 20% (95% CI, 1.01-1.41), 33% (95% CI, 1.09-1.62), and 24% (95% CI, 1.12-1.38) in the same microregions, respectively. There was an increased COPD mortality risk in the São Paulo and Rio de Janeiro microregions: 17% (95% CI, 1.05-1.31) and 12% (95% CI, 1,02-1,23), respectively, due to moderate heat, and 23% (95% CI, 1,09-1,38) and 32% (95% CI, 1,15-1,50) due to extreme heat. Non-optimal air temperature events were associated with an increased risk of death from COPD in tropical and subtropical areas of Brazil.","non-rct observational study","Jornal Brasileiro de Pneumologia","3","10.36416/1806-3756/e20220442","https://consensus.app/papers/effects-of-air-temperature-on-the-risk-of-death-from-copd-in-ribas-gomes/8647221ae4fa504db9c211fee5a06f3e/"
